loyalty_number,loyalty_card,clv,province,enrollment_year,gender,marital_status,education,churn_score,risk_tier,final_segment,segment_name,strategic_quadrant,behaviour_cluster,flights_18m,active_months_18m,months_since_last_flight,flight_trend,redemption_ratio,seasons_flown,pts_earned_18m,distance_18m,enrollment_tenure_months,churn_label
864324,Star,3939.01,Quebec,2018,Female,Married,Bachelor,0.0003697165,Low Risk,Loyalists,Road Warriors,Loyalists,3,35,12,0.0,5,0.0372054020654956,4.0,45316.0,45316,0,0
124678,Star,3954.34,Nova Scotia,2013,Male,Married,Doctor,0.0057496736,Low Risk,Loyalists,Road Warriors,Loyalists,3,37,12,0.0,7,0.0048359130171961,4.0,62863.0,62863,60,0
186015,Star,3954.34,British Columbia,2015,Male,Married,Doctor,0.0130366655,Low Risk,Loyalists,Road Warriors,Loyalists,3,28,9,0.0,2,0.0118935246365867,4.0,42376.0,42376,33,0
461108,Star,3954.34,Quebec,2018,Male,Married,Doctor,0.0046270667,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,0,0
589580,Star,3954.34,British Columbia,2015,Male,Married,Doctor,0.010606822,Low Risk,Loyalists,Road Warriors,Loyalists,3,38,12,1.0,3,0.017494867769593,4.0,66248.0,66248,34,0
623688,Star,3954.34,Ontario,2016,Female,Married,Doctor,0.039531637,Low Risk,Loyalists,Road Warriors,Loyalists,3,40,14,0.0,0,0.0199411482926161,4.0,73065.0,73065,25,0
386082,Aurora,5391.97,Alberta,2018,Female,Divorced,Bachelor,0.0013434023,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,3,0
256147,Star,3958.0,Ontario,2012,Female,Married,College,0.018964393,Low Risk,Loyalists,Road Warriors,Loyalists,3,35,13,0.0,1,0.005896985405396,4.0,57487.0,57487,69,0
329382,Star,3961.59,Quebec,2012,Male,Single,College,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,70,2
140392,Star,3963.39,British Columbia,2013,Female,Married,Bachelor,0.121946156,Low Risk,Loyalists,Road Warriors,Loyalists,1,21,11,1.0,0,0.0217867435158501,4.0,26025.0,26025,59,0
112522,Aurora,5636.74,Alberta,2018,Male,Married,Bachelor,0.21330777,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,13,3,1.0,9,0.0,1.0,29988.0,19992,4,0
230908,Star,3964.15,British Columbia,2012,Male,Divorced,Doctor,0.031773176,Low Risk,Loyalists,Road Warriors,Loyalists,3,36,13,1.0,-1,0.0164699753551463,4.0,49909.0,49909,73,0
972581,Star,3964.53,British Columbia,2016,Male,Married,High School or Below,0.06483704,Low Risk,Loyalists,Road Warriors,Loyalists,1,20,9,1.0,4,0.0278564889489515,4.0,22939.0,22939,28,0
357549,Star,3964.73,British Columbia,2018,Female,Single,Bachelor,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,0,2
330694,Aurora,6172.91,Alberta,2018,Female,Married,Bachelor,0.008008622,Low Risk,Champions,Road Warriors,Champions,0,24,2,0.0,16,0.0,2.0,71574.0,47716,4,0
910875,Star,3966.13,Quebec,2012,Female,Married,Bachelor,0.057246655,Low Risk,Loyalists,Road Warriors,Loyalists,1,20,8,1.0,2,0.0142021229674497,3.0,34009.0,34009,67,0
501704,Star,3974.86,Quebec,2013,Male,Divorced,College,0.109378934,Low Risk,Loyalists,Road Warriors,Loyalists,1,31,10,0.0,-1,0.0817115565807856,4.0,30779.0,30779,61,0
529098,Star,3974.86,British Columbia,2017,Female,Divorced,College,0.94320875,High Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,12,5,0.0,3,0.0267284798534798,3.0,17472.0,17472,8,0
265297,Star,3978.67,Manitoba,2018,Female,Married,Bachelor,0.0014667985,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,0,0
567875,Star,3979.72,Quebec,2017,Female,Married,Bachelor,0.118863,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,7,4,1.0,3,0.0,3.0,11170.0,11170,13,0
688524,Star,3980.42,Manitoba,2013,Female,Married,Bachelor,0.45320436,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,19,9,0.0,0,0.0931666937185521,4.0,30805.0,30805,63,0
269070,Star,3985.32,British Columbia,2013,Male,Married,Master,0.0164011,Low Risk,Loyalists,Road Warriors,Loyalists,3,37,16,0.0,3,0.0267798286090969,4.0,48544.0,48544,65,0
387705,Star,3985.32,Quebec,2013,Female,Married,Master,0.0035454098,Low Risk,Loyalists,Road Warriors,Loyalists,3,34,12,0.0,0,0.031757192242339,4.0,51201.0,51201,62,0
923293,Star,3985.55,Saskatchewan,2016,Male,Divorced,Bachelor,0.13128974,Low Risk,Loyalists,Road Warriors,Loyalists,3,37,13,1.0,-3,0.018411020620343,4.0,46168.0,46168,24,0
283314,Star,3991.73,Ontario,2013,Female,Married,Bachelor,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,62,2
322102,Star,3992.58,British Columbia,2013,Male,Married,College,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,58,2
789157,Star,3995.36,British Columbia,2018,Female,Single,College,0.0030357519,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,0,0
654748,Star,3996.77,Ontario,2017,Female,Married,Bachelor,0.99762636,High Risk,Sleeping/Lost,Fading Flyers,Sleeping/Lost,2,12,5,6.0,0,0.0,3.0,16433.0,16433,14,1
984713,Star,3997.48,Ontario,2018,Female,Single,College,0.0030357519,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,0,0
114835,Star,4001.52,Ontario,2017,Female,Divorced,Master,0.11547817,Low Risk,Loyalists,Road Warriors,Loyalists,1,19,9,1.0,-1,0.0,4.0,27506.0,27506,11,0
328936,Star,4005.72,Ontario,2015,Female,Married,Bachelor,0.43766436,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,3,37,12,0.0,4,0.0185663346858477,4.0,48798.0,48798,39,0
845864,Star,4013.85,British Columbia,2013,Female,Married,Doctor,0.08322255,Low Risk,Loyalists,Road Warriors,Loyalists,3,39,12,0.0,7,0.0263172994166586,4.0,52285.0,52285,62,0
645265,Star,4013.95,Quebec,2013,Male,Married,Bachelor,0.010177383,Low Risk,Loyalists,Road Warriors,Loyalists,1,20,11,0.0,1,0.0120090777280463,4.0,31726.0,31726,63,0
223587,Star,4013.96,British Columbia,2017,Female,Married,Bachelor,0.5736162,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,17,8,0.0,1,0.0186488033123506,4.0,29707.0,29707,10,0
158560,Star,4014.45,British Columbia,2015,Male,Married,Bachelor,0.09101927,Low Risk,Loyalists,Road Warriors,Loyalists,1,23,9,1.0,6,0.0541623939591684,4.0,32181.0,32181,30,0
417584,Star,4014.45,British Columbia,2014,Male,Married,Bachelor,0.22005665,Low Risk,Loyalists,Road Warriors,Loyalists,1,28,10,2.0,-3,0.0157001707102581,4.0,38662.0,38662,49,0
566033,Star,4015.21,Ontario,2015,Male,Married,College,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,36,2
472521,Aurora,6265.34,Alberta,2018,Male,Married,College,0.018892879,Low Risk,Champions,Road Warriors,Champions,0,34,4,0.0,28,0.0,2.0,42238.5,28159,3,0
425854,Star,4016.13,Ontario,2016,Female,Married,High School or Below,0.9192715,High Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,3,37,12,0.0,5,0.012081695272797,4.0,52145.0,52145,19,1
174896,Star,4016.54,Alberta,2015,Female,Single,College,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,38,2
695855,Star,4019.38,Quebec,2013,Female,Divorced,College,0.30687255,Low Risk,Loyalists,Road Warriors,Loyalists,3,28,13,0.0,11,0.012312210550096,4.0,35412.0,35412,62,0
699511,Star,4019.38,British Columbia,2014,Female,Divorced,College,0.97708875,High Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,23,8,4.0,-3,0.0,4.0,37005.0,37005,47,0
377322,Star,4023.81,Alberta,2016,Female,Married,Bachelor,0.034690406,Low Risk,Loyalists,Road Warriors,Loyalists,3,40,13,0.0,9,0.0203154419188473,4.0,73294.0,73294,25,0
511053,Star,4023.81,Ontario,2015,Male,Married,Bachelor,0.56675994,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,18,7,3.0,-3,0.0291255084253341,4.0,27536.0,27536,39,0
890753,Star,4025.1,Quebec,2017,Male,Married,College,0.42340064,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,14,6,0.0,3,0.031231101511879,3.0,23150.0,23150,9,0
796670,Star,4035.68,Manitoba,2014,Female,Married,Bachelor,0.19375849,Low Risk,Loyalists,Road Warriors,Loyalists,3,37,12,2.0,-3,0.0140840196553394,4.0,57796.0,57796,52,0
556136,Star,4035.77,Quebec,2017,Female,Married,College,0.3932998,Low Risk,Loyalists,Road Warriors,Loyalists,1,28,11,0.0,2,0.0170791673496148,4.0,30505.0,30505,17,0
513081,Star,4037.5,Alberta,2015,Female,Married,Bachelor,0.1339115,Low Risk,Loyalists,Road Warriors,Loyalists,1,19,10,0.0,1,0.0334982998350334,4.0,29703.0,29703,31,0
930718,Star,4037.55,Quebec,2015,Female,Married,High School or Below,0.57607055,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,3,38,13,0.0,4,0.0213429585891676,4.0,50977.0,50977,35,0
235872,Star,4046.94,Ontario,2013,Female,Single,Doctor,0.017348746,Low Risk,Loyalists,Road Warriors,Loyalists,3,31,10,1.0,-1,0.0268451949079876,4.0,45483.0,45483,63,0
881142,Star,4046.94,British Columbia,2016,Female,Single,Doctor,0.9997892,High Risk,Sleeping/Lost,Fading Flyers,Sleeping/Lost,2,9,5,13.0,0,0.0882442438381174,2.0,9859.0,9859,21,1
295147,Star,4048.16,British Columbia,2017,Male,Married,Bachelor,0.048198137,Low Risk,Loyalists,Road Warriors,Loyalists,1,22,8,0.0,3,0.0272775946121114,3.0,35487.0,35487,13,0
306110,Star,4053.37,Ontario,2013,Male,Married,Bachelor,0.026528873,Low Risk,Loyalists,Road Warriors,Loyalists,1,21,8,0.0,3,0.0313631355265229,3.0,25412.0,25412,61,0
295217,Star,4059.57,Ontario,2016,Female,Divorced,Doctor,0.33289683,Low Risk,Loyalists,Road Warriors,Loyalists,1,20,9,1.0,0,0.0376936459282578,3.0,36213.0,36213,24,0
967300,Aurora,6364.9,Alberta,2018,Male,Single,Bachelor,0.03470882,Low Risk,Champions,Road Warriors,Champions,0,36,2,0.0,36,0.0,2.0,71532.0,47688,3,1
591731,Star,4064.18,Ontario,2013,Male,Married,Bachelor,0.06282967,Low Risk,Loyalists,Road Warriors,Loyalists,3,33,14,1.0,-3,0.0126119432169254,4.0,51142.0,51142,57,0
326905,Star,4068.09,British Columbia,2017,Female,Married,College,0.29523444,Low Risk,Loyalists,Road Warriors,Loyalists,1,25,8,1.0,0,0.0,4.0,36375.0,36375,16,0
375511,Star,4070.05,Quebec,2014,Female,Single,Bachelor,0.52594143,Medium Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,3,38,12,0.0,10,0.0256552266271237,4.0,55973.0,55973,47,0
485283,Star,4072.85,Ontario,2017,Male,Single,Bachelor,0.045018576,Low Risk,Loyalists,Road Warriors,Loyalists,1,9,4,0.0,7,0.0280764635603345,3.0,20088.0,20088,9,0
920716,Aurora,7098.91,Alberta,2018,Female,Single,College,0.08494714,Low Risk,Champions,Occasional Flyers,Champions,4,12,1,1.0,12,0.0,1.0,32112.0,21408,2,0
797685,Star,4079.13,Alberta,2017,Male,Married,College,0.17240651,Low Risk,Loyalists,Road Warriors,Loyalists,1,18,7,0.0,4,0.0289507977318353,4.0,28393.0,28393,12,0
216467,Star,4083.56,New Brunswick,2014,Male,Married,Doctor,0.10693466,Low Risk,Loyalists,Road Warriors,Loyalists,1,24,10,0.0,0,0.013364544489507,4.0,36739.0,36739,47,0
958839,Star,4083.56,Quebec,2018,Male,Married,Doctor,0.0030422835,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,0,0
539673,Star,4087.51,Ontario,2015,Female,Married,Bachelor,0.9386554,High Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,26,10,4.0,-4,0.0133059021561973,4.0,37427.0,37427,40,1
746226,Star,4089.04,British Columbia,2018,Female,Married,Bachelor,0.007547827,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,0,0,0.0,0,0.0,0.0,0.0,0,5,0
484718,Star,4089.46,British Columbia,2012,Male,Single,Bachelor,0.08603266,Low Risk,Loyalists,Road Warriors,Loyalists,3,26,12,0.0,3,0.0340686594439368,4.0,45966.0,45966,72,0
528492,Star,4090.75,Quebec,2015,Male,Married,Bachelor,0.019143684,Low Risk,Loyalists,Road Warriors,Loyalists,3,33,12,1.0,-6,0.0121579196777632,3.0,67528.0,67528,36,0
995091,Star,4095.2,British Columbia,2017,Female,Married,Bachelor,0.32206717,Low Risk,Loyalists,Occasional Flyers,Loyalists,4,5,4,0.0,3,0.0576441102756892,2.0,8778.0,8778,9,0
632793,Star,4097.37,Quebec,2016,Female,Single,High School or Below,0.11894402,Low Risk,Loyalists,Road Warriors,Loyalists,1,21,11,2.0,0,0.0233923535666404,4.0,21631.0,21631,24,0
912220,Star,4097.37,British Columbia,2013,Male,Single,High School or Below,1.0,Dormant,Dormant,Dormant,Sleeping/Lost,-1,0,0,0.0,0,0.0,0.0,0.0,0,58,2
382197,Star,4100.47,British Columbia,2017,Male,Married,Bachelor,0.91827625,High Risk,Sleeping/Lost,Road Warriors,Sleeping/Lost,1,13,5,1.0,2,0.0194105263157894,3.0,23750.0,23750,8,1
705196,Star,4101.94,British Columbia,2013,Female,Single,College,0.002936871,Low Risk,Loyalists,Road Warriors,Loyalists,3,40,14,0.0,6,0.027611062751027,4.0,65481.0,65481,55,0
123094,Star,4103.85,British Columbia,2018,Female,Married,Bachelor,0.19504529,Low Risk,Loyalists,Road Warriors,Loyalists,1,12,5,0.0,6,0.0151644692435764,3.0,22223.0,22223,5,0
366540,Aurora,7288.88,Alberta,2018,Female,Married,Bachelor,0.0742288,Low Risk,Champions,Road Warriors,Champions,0,18,2,0.0,14,0.0,2.0,40428.0,26952,3,0
119488,Star,4108.26,Quebec,2017,Female,Single,College,0.17727616,Low Risk,Loyalists,Road Warriors,Loyalists,1,23,8,1.0,-2,0.0,3.0,31244.0,31244,12,0
287750,Star,4109.31,Ontario,2012,Female,Single,College,0.0081280945,Low Risk,Loyalists,Road Warriors,Loyalists,3,33,13,0.0,0,0.0273802537131506,4.0,44302.0,44302,70,0
735846,Star,4109.79,Ontario,2012,Male,Married,Bachelor,0.0026989267,Low Risk,Loyalists,Road Warriors,Loyalists,1,19,8,0.0,5,0.069764539479158,3.0,24038.0,24038,70,0
606026,Star,4110.62,British Columbia,2015,Male,Single,Bachelor,0.046474867,Low Risk,Loyalists,Road Warriors,Loyalists,3,35,14,1.0,4,0.0200147710487444,4.0,54160.0,54160,35,0
460291,Star,4111.2,British Columbia,2015,Female,Divorced,Bachelor,0.30585694,Low Risk,Loyalists,Road Warriors,Loyalists,3,28,10,0.0,4,0.0,4.0,52043.0,52043,33,0
743001,Star,4111.89,British Columbia,2017,Female,Married,Bachelor,0.26681814,Low Risk,Loyalists,Road Warriors,Loyalists,1,17,6,0.0,3,0.0186795950377869,4.0,21039.0,21039,13,0
