loyalty_number,clv,enrollment_tenure_months,card_tier_encoded,salary_encoded,education_encoded,never_flew_flag,gender_Male,marital_status_Married,marital_status_Single,flights_3m,distance_3m,pts_earned_3m,pts_redeemed_3m,active_months_3m,flights_6m,distance_6m,pts_earned_6m,pts_redeemed_6m,active_months_6m,flights_12m,distance_12m,pts_earned_12m,pts_redeemed_12m,active_months_12m,flights_18m,distance_18m,pts_earned_18m,pts_redeemed_18m,active_months_18m,months_since_last_flight,flight_trend,redemption_ratio,seasons_flown,churn_label
295217,4059.57,24,0,67411.0,5,0,0,0,0,5,6785,6785.0,0,2,10,16954,16954.0,331,4,14,23080,23080.0,331,6,20,36213,36213.0,1365,9,1.0,0,0.03769364592825781,3.0,0
967300,6364.9,3,2,62630.0,3,0,1,0,1,36,47688,71532.0,0,2,36,47688,71532.0,0,2,36,47688,71532.0,0,2,36,47688,71532.0,0,2,0.0,36,0.0,2.0,1
591731,4064.18,57,0,51370.0,3,0,1,1,0,3,2877,2877.0,0,2,9,11517,11517.0,0,4,18,23651,23651.0,645,8,33,51142,51142.0,645,14,1.0,-3,0.012611943216925423,4.0,0
326905,4068.09,16,0,73510.0,2,0,0,1,0,3,6183,6183.0,0,1,6,12309,12309.0,0,2,15,27767,27767.0,0,5,25,36375,36375.0,0,8,1.0,0,0.0,4.0,0
375511,4070.05,47,0,59300.0,3,0,0,0,1,11,17844,17844.0,0,2,12,19022,19022.0,352,3,33,45735,45735.0,809,9,38,55973,55973.0,1436,12,0.0,10,0.02565522662712379,4.0,0
485283,4072.85,9,0,102479.0,3,0,1,0,1,7,16982,16982.0,564,2,7,16982,16982.0,564,2,9,20088,20088.0,564,4,9,20088,20088.0,564,4,0.0,7,0.028076463560334528,3.0,0
920716,7098.91,2,2,73510.0,2,0,0,0,1,12,21408,32112.0,0,1,12,21408,32112.0,0,1,12,21408,32112.0,0,1,12,21408,32112.0,0,1,1.0,12,0.0,1.0,0
797685,4079.13,12,0,73510.0,2,0,1,1,0,6,13608,13608.0,0,1,8,17091,17091.0,0,3,18,28393,28393.0,822,7,18,28393,28393.0,822,7,0.0,4,0.02895079773183531,4.0,0
216467,4083.56,47,0,90995.0,5,0,1,1,0,5,10240,10240.0,0,1,10,13461,13461.0,491,3,17,23007,23007.0,491,7,24,36739,36739.0,491,10,0.0,0,0.013364544489507064,4.0,0
958839,4083.56,0,0,90995.0,5,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
539673,4087.51,40,0,49558.0,3,0,0,1,0,0,0,0.0,0,0,4,6852,6852.0,0,2,13,22441,22441.0,498,6,26,37427,37427.0,498,10,4.0,-4,0.013305902156197398,4.0,1
746226,4089.04,5,0,63501.0,3,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0
484718,4089.46,72,0,76367.0,3,0,1,0,1,6,6117,6117.0,364,3,9,12099,12099.0,1012,5,18,32664,32664.0,1566,8,26,45966,45966.0,1566,12,0.0,3,0.034068659443936826,4.0,0
528492,4090.75,36,0,60360.0,3,0,1,1,0,2,4698,4698.0,0,1,10,18556,18556.0,0,4,22,42355,42355.0,519,8,33,67528,67528.0,821,12,1.0,-6,0.012157919677763298,3.0,0
995091,4095.2,9,0,55454.0,3,0,0,1,0,4,6786,6786.0,0,3,5,8778,8778.0,506,4,5,8778,8778.0,506,4,5,8778,8778.0,506,4,0.0,3,0.05764411027568922,2.0,0
632793,4097.37,24,0,60370.0,1,0,0,0,1,2,2826,2826.0,0,1,4,5718,5718.0,0,3,17,18519,18519.0,506,9,21,21631,21631.0,506,11,2.0,0,0.02339235356664047,4.0,0
912220,4097.37,58,0,60370.0,1,1,1,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,2
382197,4100.47,8,0,69367.0,3,0,1,1,0,7,11776,11776.0,0,2,12,22982,22982.0,461,4,13,23750,23750.0,461,5,13,23750,23750.0,461,5,1.0,2,0.019410526315789475,3.0,1
705196,4101.94,55,0,73510.0,2,0,0,0,1,9,9351,9351.0,1128,3,12,15851,15851.0,1808,5,27,45750,45750.0,1808,9,40,65481,65481.0,1808,14,0.0,6,0.027611062751027017,4.0,0
123094,4103.85,5,0,92223.0,3,0,0,1,0,9,15900,15900.0,0,3,12,22223,22223.0,337,5,12,22223,22223.0,337,5,12,22223,22223.0,337,5,0.0,6,0.015164469243576475,3.0,0
